folio,sign,ring,slot,n_slots_in_ring,clock,angle_deg,eva_label,eva_label_clean,figure_type,holds_star,central_sign_desc,confidence,image_file,notes
f72v1,Leo,2,8,10,08:45,262.5,oeeoly,oeeoly,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,9,10,10:00,300.0,okydy,okydy,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v1,Leo,2,10,10,11:30,345.0,okeey,okeey,nymph-nude,1,"maned quadruped (lion), standing",high,f72v1_region.jpg,
f72v2,Virgo,1,1,18,00:30,15.0,"air,aim","air,aim",nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,2,18,01:00,30.0,oshesy,oshesy,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,3,18,02:00,60.0,oke[a:o]ry,okeary,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,4,18,02:30,75.0,cheoetey,cheoetey,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,5,18,03:00,90.0,cheol[d:?]y,cheoldy,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,6,18,04:00,120.0,sheoeky,sheoeky,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,7,18,04:30,135.0,oteodar,oteodar,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
f72v2,Virgo,1,8,18,05:30,165.0,ofchdysd,ofchdysd,nymph-nude,1,single blue-clad maiden holding a star/attribute,high,f72v2_region.jpg,
